18 43
1 3 1.0 
1 9 1.0
1 15 1.0
1 16 1.0
1 17 1.0
2 4 99.0
2 5 99.0
2 11 99.0
2 12 99.0
2 18 99.0
3 8 1.0
3 9 1.0
3 14 1.0
4 5 99.0
4 6 99.0
4 7 99.0
4 9 99.0
4 15 99.0
5 7 1.0
5 12 1.0
5 14 1.0
5 15 1.0
6 7 1.0
6 9 1.0
7 8 99.0
7 12 99.0
7 13 99.0
7 15 99.0
7 17 99.0
8 11 1.0
8 12 1.0
8 14 1.0
9 10 99.0
9 11 99.0
9 12 99.0
9 13 99.0
9 14 99.0
10 14 1.0
10 15 1.0
11 12 99.0
11 13 99.0
11 16 99.0
11 18 99.0
18 6

6 9
1 4 4
1 2 3
1 6 3
2 5 2
2 3 3
2 6 3
3 4 2
2 6 3
4 5 3
1 3
